us_man@LAPTOP-9S3V54PQ:/mnt/c/Users/Usman/Downloads$ cat regional-global-daily-latest.csv
,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
167,I.F.L.Y.,Bazzi,740749,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
168,"The Other Side (from Trolls World Tour)",SZA,739878,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
169,"Can We Kiss Forever?",Kina,736186,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
17,"Someone You Loved","Lewis Capaldi",2786413,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
170,"Hate Me (with Juice WRLD)","Ellie Goulding",732868,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
171,"If I Can't Have You","Shawn Mendes",725917,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
172,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,725647,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
173,Moon,BTS,725129,https://open.spotify.com/track/1xfXXujIlLZAx5wpu46Nyk
174,"Perreo en La Luna","Rich Music LTD",724985,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
175,Youngblood,"5 Seconds of Summer",724885,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
176,"Truth Hurts",Lizzo,722533,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
177,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",721086,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
178,Takeaway,"The Chainsmokers",719390,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
179,"Be Alright","Dean Lewis",715452,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
18,"Godzilla (feat. Juice WRLD)",Eminem,2679702,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
180,Mejor,Dalex,711206,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
181,"No Guidance (feat. Drake)","Chris Brown",707522,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
182,"all the good girls go to hell","Billie Eilish",705162,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
183,"The Less I Know The Better","Tame Impala",699947,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
184,"High Hopes","Panic! At The Disco",699793,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
185,Moonlight,XXXTENTACION,697337,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
186,"3 Nights","Dominic Fike",693215,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
187,"Si Te Vas",Sech,692143,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
188,Infeliz,Arcangel,688816,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
189,"i love you","Billie Eilish",686491,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
19,Memories,"Maroon 5",2664328,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
190,"Call Out My Name","The Weeknd",685081,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
191,"SLOW DANCING IN THE DARK",Joji,684523,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
192,Indeciso,Reik,682108,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
193,"Let Me Down Slowly","Alec Benjamin",681617,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
194,Trust,"Brent Faiyaz",680561,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
195,"Going Bad (feat. Drake)","Meek Mill",680498,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
196,"MIDDLE CHILD","J. Cole",680025,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
197,Tutu,Camilo,679368,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
198,"Too Good At Goodbyes","Sam Smith",679130,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
199,Photograph,"Ed Sheeran",678566,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
2,"Dance Monkey","Tones and I",5521896,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"Adore You","Harry Styles",2492782,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
200,"Something Just Like This","The Chainsmokers",677875,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
21,"Blueberry Faygo","Lil Mosey",2367082,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
22,"bad guy","Billie Eilish",2334978,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
23,"Sunday Best",Surfaces,2282686,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
24,"Roses - Imanbek Remix","SAINt JHN",2253527,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
25,"Before You Go","Lewis Capaldi",2164739,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
26,Señorita,"Shawn Mendes",2154551,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
27,"You should be sad",Halsey,2116424,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
28,"My Oh My (feat. DaBaby)","Camila Cabello",2070563,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
29,"Sigues Con El","Dimelo Flow",2062947,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
3,"The Box","Roddy Ricch",5465222,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
30,"RITMO (Bad Boys For Life)","Black Eyed Peas",2024375,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
31,"Forever (feat. Post Malone & Clever)","Justin Bieber",2018764,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
32,Physical,"Dua Lipa",2004576,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
33,"Moral of the Story",Ashe,1973423,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
34,"death bed (feat. beabadoobee)",Powfu,1893898,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
35,ON,BTS,1884828,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
36,"Lose Control",MEDUZA,1816739,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
37,Morado,"J Balvin",1780420,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
38,"High Fashion (feat. Mustard)","Roddy Ricch",1725024,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
39,Vete,"Bad Bunny",1712380,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
4,"Don't Start Now","Dua Lipa",4672099,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
40,"Hola - Remix",Dalex,1692538,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
41,"To Die For","Sam Smith",1653665,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
42,"Ride It",Regard,1630118,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
43,Keii,"Anuel AA",1612768,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
44,Suicidal,"YNW Melly",1590420,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
45,"ON (Feat. Sia)",BTS,1554250,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
46,"I Don't Care (with Justin Bieber)","Ed Sheeran",1533089,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
47,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1527855,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
48,"Feel Me","Selena Gomez",1527113,https://open.spotify.com/track/6XXYdF6pJR1K3wKvuxmu7n
49,Diosa,"Myke Towers",1480862,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
5,"Intentions (feat. Quavo)","Justin Bieber",4347625,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
50,Muévelo,"Nicky Jam",1479034,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
51,"What A Man Gotta Do","Jonas Brothers",1477929,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
52,Fantasias,"Rauw Alejandro",1461800,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
53,"WHATS POPPIN","Jack Harlow",1439809,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
54,"What If I Told You That I Love You","Ali Gatie",1396698,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
55,"10,000 Hours (with Justin Bieber)","Dan + Shay",1394284,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
56,"hot girl bummer",blackbear,1392785,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
57,SUGAR,BROCKHAMPTON,1386984,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
58,"Know Your Worth",Khalid,1380149,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
59,BOP,DaBaby,1372943,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
6,Tusa,"KAROL G",3880020,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
60,"Ballin' (with Roddy Ricch)",Mustard,1321875,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
61,"lovely (with Khalid)","Billie Eilish",1311978,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
62,"when the party's over","Billie Eilish",1310896,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
63,"HIGHEST IN THE ROOM","Travis Scott",1309037,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
64,"Beautiful People (feat. Khalid)","Ed Sheeran",1299059,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
65,"Lose You To Love Me","Selena Gomez",1288948,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
66,"Me Gusta",Shakira,1274823,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
67,Shallow,"Lady Gaga",1248573,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
68,China,"Anuel AA",1243315,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
69,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",1217726,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
7,Falling,"Trevor Daniel",3723995,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
70,"Lucid Dreams","Juice WRLD",1207886,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
71,"Black Swan",BTS,1175533,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
72,"Watermelon Sugar","Harry Styles",1174864,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
73,Rare,"Selena Gomez",1159613,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
74,"No Me Conoce - Remix","Jhay Cortez",1122007,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
75,Tattoo,"Rauw Alejandro",1112052,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
76,"7 rings","Ariana Grande",1105202,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
77,"LA CANCIÓN","J Balvin",1101913,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
78,"Never Seen the Rain","Tones and I",1101325,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
79,"No Idea","Don Toliver",1078866,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
8,ROXANNE,"Arizona Zervas",3551718,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
80,Filter,BTS,1071993,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
81,"OUT WEST (feat. Young Thug)",JACKBOYS,1071704,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
82,Callaita,"Bad Bunny",1069892,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
83,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",1068395,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
84,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1067260,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
85,"It's You","Ali Gatie",1062076,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
86,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,1056590,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
87,Heartless,"The Weeknd",1054716,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
88,"Alone, Pt. II","Alan Walker",1054199,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
89,Woah,"Lil Baby",1037859,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
9,"No Time To Die","Billie Eilish",3212248,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
90,Lalala,Y2K,1025722,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
91,"Goodbyes (Feat. Young Thug)","Post Malone",1024654,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
92,Medusa,"Jhay Cortez",1022513,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
93,"Go Stupid","Polo G",1017118,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
94,"How Do You Sleep?","Sam Smith",979121,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
95,"Boy With Luv (feat. Halsey)",BTS,968720,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
96,Happier,Marshmello,966470,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
97,"Old Town Road - Remix","Lil Nas X",958394,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
98,"My Time",BTS,955220,https://open.spotify.com/track/4vTgx6h4seHvkuFh84JXYP
99,"rockstar (feat. 21 Savage)","Post Malone",936975,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
Position,"Track Name",Artist,Streams,URL
us_man@LAPTOP-9S3V54PQ:/mnt/c/Users/Usman/Downloads$ sort -t"," -k3 regional-global-daily-latest.csv
134,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,835846,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
83,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",1068395,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
88,"Alone, Pt. II","Alan Walker",1054199,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
154,"thank u, next","Ariana Grande",780986,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
175,Youngblood,"5 Seconds of Summer",724885,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
108,"Old Me","5 Seconds of Summer",917309,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
193,"Let Me Down Slowly","Alec Benjamin",681617,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
85,"It's You","Ali Gatie",1062076,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
54,"What If I Told You That I Love You","Ali Gatie",1396698,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
68,China,"Anuel AA",1243315,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
43,Keii,"Anuel AA",1612768,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
124,Matrix,"Apache 207",861518,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
76,"7 rings","Ariana Grande",1105202,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
8,ROXANNE,"Arizona Zervas",3551718,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
157,"Sweet but Psycho","Ava Max",772828,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
82,Callaita,"Bad Bunny",1069892,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
39,Vete,"Bad Bunny",1712380,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
16,Ignorantes,"Bad Bunny",2792407,https://open.spotify.com/track/3wYRLYuO1M88d8woWUIxct
62,"when the party's over","Billie Eilish",1310896,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
61,"lovely (with Khalid)","Billie Eilish",1311978,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
22,"bad guy","Billie Eilish",2334978,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,"everything i wanted","Billie Eilish",2946866,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,"No Time To Die","Billie Eilish",3212248,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
189,"i love you","Billie Eilish",686491,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
182,"all the good girls go to hell","Billie Eilish",705162,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
163,"bury a friend","Billie Eilish",754396,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
117,"ocean eyes","Billie Eilish",886777,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
30,"RITMO (Bad Boys For Life)","Black Eyed Peas",2024375,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
194,Trust,"Brent Faiyaz",680561,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
28,"My Oh My (feat. DaBaby)","Camila Cabello",2070563,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
181,"No Guidance (feat. Drake)","Chris Brown",707522,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
138,Maniac,"Conan Gray",816240,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
145,"Que Tire Pa Lante","Daddy Yankee",802796,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
123,Definitivamente,"Daddy Yankee",864895,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
179,"Be Alright","Dean Lewis",715452,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
29,"Sigues Con El","Dimelo Flow",2062947,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
14,"Say So","Doja Cat",2969630,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
186,"3 Nights","Dominic Fike",693215,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
79,"No Idea","Don Toliver",1078866,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
32,Physical,"Dua Lipa",2004576,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
4,"Don't Start Now","Dua Lipa",4672099,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
64,"Beautiful People (feat. Khalid)","Ed Sheeran",1299059,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
46,"I Don't Care (with Justin Bieber)","Ed Sheeran",1533089,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
199,Photograph,"Ed Sheeran",678566,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
146,Perfect,"Ed Sheeran",802681,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
122,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",873406,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
119,"Shape of You","Ed Sheeran",880335,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
170,"Hate Me (with Juice WRLD)","Ellie Goulding",732868,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
72,"Watermelon Sugar","Harry Styles",1174864,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"Adore You","Harry Styles",2492782,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
126,"Lights Up","Harry Styles",860584,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
118,Falling,"Harry Styles",882629,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
101,Believer,"Imagine Dragons",930881,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
77,"LA CANCIÓN","J Balvin",1101913,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
37,Morado,"J Balvin",1780420,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
113,Blanco,"J Balvin",896207,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
196,"MIDDLE CHILD","J. Cole",680025,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
69,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",1217726,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
53,"WHATS POPPIN","Jack Harlow",1439809,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
120,"Say You Won't Let Go","James Arthur",877916,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
92,Medusa,"Jhay Cortez",1022513,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
74,"No Me Conoce - Remix","Jhay Cortez",1122007,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
161,"All of Me","John Legend",759135,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
51,"What A Man Gotta Do","Jonas Brothers",1477929,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
107,Sucker,"Jonas Brothers",917917,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
84,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1067260,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
70,"Lucid Dreams","Juice WRLD",1207886,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
130,Robbery,"Juice WRLD",845197,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
31,"Forever (feat. Post Malone & Clever)","Justin Bieber",2018764,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
11,Yummy,"Justin Bieber",3042586,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
5,"Intentions (feat. Quavo)","Justin Bieber",4347625,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,Tusa,"KAROL G",3880020,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
67,Shallow,"Lady Gaga",1248573,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
25,"Before You Go","Lewis Capaldi",2164739,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
17,"Someone You Loved","Lewis Capaldi",2786413,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
111,Bruises,"Lewis Capaldi",908933,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
89,Woah,"Lil Baby",1037859,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
21,"Blueberry Faygo","Lil Mosey",2367082,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
97,"Old Town Road - Remix","Lil Nas X",958394,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
125,Ransom,"Lil Tecca",861265,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
162,"Futsal Shuffle 2020","Lil Uzi Vert",755821,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
19,Memories,"Maroon 5",2664328,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
149,"Girls Like You (feat. Cardi B)","Maroon 5",796031,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
195,"Going Bad (feat. Drake)","Meek Mill",680498,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
49,Diosa,"Myke Towers",1480862,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
109,Girl,"Myke Towers",917223,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
139,"No Judgement","Niall Horan",811262,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
50,Muévelo,"Nicky Jam",1479034,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
105,"Whine Up","Nicky Jam",923794,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
143,July,"Noah Cyrus",806993,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
177,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",721086,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
184,"High Hopes","Panic! At The Disco",699793,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
93,"Go Stupid","Polo G",1017118,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
147,Dior,"Pop Smoke",798132,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
91,"Goodbyes (Feat. Young Thug)","Post Malone",1024654,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
47,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1527855,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
13,Circles,"Post Malone",2997153,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
166,"Better Now","Post Malone",744922,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
114,Wow.,"Post Malone",892418,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
99,"rockstar (feat. 21 Savage)","Post Malone",936975,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
75,Tattoo,"Rauw Alejandro",1112052,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
52,Fantasias,"Rauw Alejandro",1461800,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
174,"Perreo en La Luna","Rich Music LTD",724985,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
151,Quizas,"Rich Music LTD",788336,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
38,"High Fashion (feat. Mustard)","Roddy Ricch",1725024,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
3,"The Box","Roddy Ricch",5465222,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
24,"Roses - Imanbek Remix","SAINt JHN",2253527,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
41,"To Die For","Sam Smith",1653665,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
198,"Too Good At Goodbyes","Sam Smith",679130,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
131,"Dancing With A Stranger (with Normani)","Sam Smith",844885,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
94,"How Do You Sleep?","Sam Smith",979121,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
73,Rare,"Selena Gomez",1159613,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
65,"Lose You To Love Me","Selena Gomez",1288948,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
48,"Feel Me","Selena Gomez",1527113,https://open.spotify.com/track/6XXYdF6pJR1K3wKvuxmu7n
26,Señorita,"Shawn Mendes",2154551,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
171,"If I Can't Have You","Shawn Mendes",725917,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
